Age,Sex,Height,Weight,Job,ExerciseFrequency,ExerciseToughness,Necessary Screen Time,ProductiveScreenTime,SocialMedia,VideoGames,OnlineShopping,Binge Watching,Ebooks,OptimumScreenTime,NumberOfDevices ,HumanInteraction,sleep
young,Female,1.6,52,Bureaucracy;Finance;Legal,3 to 5 days a week,5,5,2,1,1,1,2,1,4,2,5,6 to 8 hours
young,Female,1.5242,52,Student,6 days a week,9,7,6,1,0,0,1,1,6,2,4,6 to 8 hours
young,Male,1.778,75,Hospitality and Service,3 to 5 days a week,5,2,1,2,1,1,3,0,4,2,8,6 to 8 hours
old,Male,1.8291,80,Bureaucracy;Defence / law  enforcement,Once every day,7,4,1,0,0,0,3,0,4,1,8,6 to 8 hours
young,Male,1.5241,60,Student,never,0,7,3,2,0,1,3,1,6,2,1,6 to 8 hours
young,Female,1.5241,70,Science and Technology,6 days a week,2,4,4,5,3,2,4,4,7,2,2,6 to 8 hours
teen,Female,1.626,58,Student,Twice a day,6,5,3,2,0,0,1,0,8,2,4,6 to 8 hours
young,Female,1.651,55,Marketing;Student;Freelancer,once a week,4,6,4,6,2,2,5,1,6,3,6,6 to 8 hours
young,Female,1.499,50,Design and Architecture,once a week,3,6,4,0,1,3,7,2,6,3,3,more than 8 hours
young,Male,1.829,85,Legal,Once every day,6,6,4,1,1,1,2,1,5,2,7,6 to 8 hours
teen,Female,1.702,46.6,Science and Technology,3 to 5 days a week,7,6,6,2,0,0,7,2,5,2,4,6 to 8 hours
teen,Female,1.6,54,Student,rarely,1,7,5,2,0,1,0,0,7,2,2,6 to 8 hours
teen,Female,1.575,50,Science and Technology;Student,Only on week-ends ( or 2 days a week),6,5,2,1,0,0,1,0,3,2,1,6 to 8 hours
young,Male,1.8292,90,"Academic (Professor , Teachers , etc);Design and Architecture",Once every day,5,2,4,2,4,3,5,1,6,3,5,less than 6 hours
young,Male,1.778,75,Marketing;Student,Once every day,5,5,1,2,2,1,3,1,5,1,6,6 to 8 hours
young,Male,1.829,80,Legal;Student,Once every day,6,5,1,0,0,0,2,0,4,1,8,more than 8 hours
old,Male,1.829,80,Management and Administration,Once every day,6,6,2,2,1,1,2,1,5,3,4,6 to 8 hours
